D,P,WD,BC,Weight/grain,boattail,roundtip,cannelure,IV,V
0,-1.5,0,0.45,120,1,0,0,3050,3050
100,1.4,0.6,0.45,120,1,0,0,3050,2850
200,0,2.5,0.45,120,1,0,0,3050,2658
300,-6.3,5.8,0.45,120,1,0,0,3050,2475
400,-18.3,10.6,0.45,120,1,0,0,3050,2298
500,-36.9,17.1,0.45,120,1,0,0,3050,2129
600,-63.2,25.6,0.45,120,1,0,0,3050,1968
800,-144.4,49.3,0.45,120,1,0,0,3050,1668
1000,-276,83.6,0.45,120,1,0,0,3050,1409
0,-1.5,0,0.465,120,1,0,0,2910,2910
100,1.6,0.6,0.465,120,1,0,0,2910,2712
200,0,2.7,0.465,120,1,0,0,2910,2522
300,-7.1,6.3,0.465,120,1,0,0,2910,2340
400,-20.5,11.6,0.465,120,1,0,0,2910,2166
500,-41.4,18.9,0.465,120,1,0,0,2910,1999
600,-71.1,28.3,0.465,120,1,0,0,2910,1839
800,-163.2,54.6,0.465,120,1,0,0,2910,1549
1000,-313.8,92.8,0.465,120,1,0,0,2910,1306
0,-1.5,0,0.486,129,1,0,0,2950,2950
100,1.5,0.6,0.486,129,1,0,0,2950,2756
200,0,2.6,0.486,129,1,0,0,2950,2571
300,-6.8,5.9,0.486,129,1,0,0,2950,2394
400,-19.7,10.9,0.486,129,1,0,0,2950,2223
500,-39.7,17.7,0.486,129,1,0,0,2950,2059
600,-67.8,26.5,0.486,129,1,0,0,2950,1902
800,-154.7,51,0.486,129,1,0,0,2950,1614
1000,-295.5,86.5,0.486,129,1,0,0,2950,1367
0,-1.5,0,0.485,129,1,0,1,2950,2950
100,1.5,0.6,0.485,129,1,0,1,2950,2756
200,0,2.6,0.485,129,1,0,1,2950,2570
300,-6.8,6,0.485,129,1,0,1,2950,2392
400,-19.7,11,0.485,129,1,0,1,2950,2221
500,-39.5,17.8,0.485,129,1,0,1,2950,2057
600,-67.8,26.6,0.485,129,1,0,1,2950,1900
800,-154.9,51.2,0.485,129,1,0,1,2950,1612
1000,-296,86.7,0.485,129,1,0,1,2950,1364
0,,,0.585,140,1,0,0,2710,2710
100,,,0.585,140,1,0,0,2710,2557
200,,,0.585,140,1,0,0,2710,2409
300,,,0.585,140,1,0,0,2710,2266
400,,,0.585,140,1,0,0,2710,2128
500,,,0.585,140,1,0,0,2710,1995
600,,,0.585,140,1,0,0,2710,1867
800,,,0.585,140,1,0,0,2710,1628
1000,,,0.585,140,1,0,0,2710,1417
0,,,0.58,140,1,1,0,2710,2710
100,,,0.58,140,1,1,0,2710,2556
200,,,0.58,140,1,1,0,2710,2407
300,,,0.58,140,1,1,0,2710,2263
400,,,0.58,140,1,1,0,2710,2123
500,,,0.58,140,1,1,0,2710,1989
600,,,0.58,140,1,1,0,2710,1860
800,,,0.58,140,1,1,0,2710,1620
1000,,,0.58,140,1,1,0,2710,1409
0,,,0.326,100,0,1,0,3200,3200
100,,,0.326,100,0,1,0,3200,2898
200,,,0.326,100,0,1,0,3200,2615
300,,,0.326,100,0,1,0,3200,2350
400,,,0.326,100,0,1,0,3200,2100
500,,,0.326,100,0,1,0,3200,1866
600,,,0.326,100,0,1,0,3200,1650
800,,,0.326,100,0,1,0,3200,1290
1000,,,0.326,100,0,1,0,3200,1060
0,,,0.35,100,0,0,0,3200,3200
100,,,0.35,100,0,0,0,3200,2918
200,,,0.35,100,0,0,0,3200,2653
300,,,0.35,100,0,0,0,3200,2403
400,,,0.35,100,0,0,0,3200,2167
500,,,0.35,100,0,0,0,3200,1944
600,,,0.35,100,0,0,0,3200,1737
800,,,0.35,100,0,0,0,3200,1378
1000,,,0.35,100,0,0,0,3200,1123
0,,,0.391,120,1,1,0,2950,2950
100,,,0.391,120,1,1,0,2950,2710
200,,,0.391,120,1,1,0,2950,2480
300,,,0.391,120,1,1,0,2950,2270
400,,,0.391,120,1,1,0,2950,2060
500,,,0.391,120,1,1,0,2950,1870
600,,,0.391,120,1,1,0,2950,1688
800,,,0.391,120,1,1,0,2950,1373
1000,,,0.391,120,1,1,0,2950,1141
0,,,0.418,120,1,0,0,2950,2950
100,,,0.418,120,1,0,0,2950,2730
200,,,0.418,120,1,0,0,2950,2510
300,,,0.418,120,1,0,0,2950,2310
400,,,0.418,120,1,0,0,2950,2110
500,,,0.418,120,1,0,0,2950,1930
600,,,0.418,120,1,0,0,2950,1755
800,,,0.418,120,1,0,0,2950,1446
1000,,,0.418,120,1,0,0,2950,1203
